type,value
gene_std,0.8329471945762634
gene_std,0.8390193581581116
gene_std,0.9007295966148376
gene_std,0.8996708393096924
gene_std,1.1488208770751953
gene_std,0.9523223042488098
gene_std,0.7793191075325012
gene_std,0.8350369334220886
gene_std,1.0563993453979492
gene_std,0.8840449452400208
gene_std,0.8472723960876465
gene_std,0.8578634262084961
gene_std,1.1034927368164062
gene_std,0.7579695582389832
gene_std,1.0030221939086914
gene_std,0.7736247181892395
gene_std,0.7354258894920349
gene_std,0.893118143081665
gene_std,0.8267965316772461
gene_std,0.8115513324737549
gene_std,0.7949498295783997
gene_std,0.9745988249778748
gene_std,0.8765539526939392
gene_std,0.8907769322395325
gene_std,0.8927419781684875
gene_std,0.8696231842041016
gene_std,0.9341939091682434
gene_std,0.8268045783042908
gene_std,0.9463495016098022
gene_std,0.8387623429298401
gene_std,1.2210808992385864
gene_std,0.8025949597358704
gene_std,1.0066747665405273
gene_std,0.8267435431480408
gene_std,1.0249844789505005
gene_std,0.8441949486732483
gene_std,0.7996401190757751
gene_std,0.8958178162574768
gene_std,0.7850736379623413
gene_std,0.7504870891571045
gene_std,0.8577649593353271
gene_std,0.7889978885650635
gene_std,0.8281156420707703
gene_std,0.7619421482086182
gene_std,0.7925316095352173
gene_std,0.7933779954910278
gene_std,0.7229254841804504
gene_std,0.8325340747833252
gene_std,0.775406539440155
gene_std,0.7575095891952515
gene_std,0.9195965528488159
gene_std,0.9133678674697876
gene_std,0.8085558414459229
gene_std,0.78841233253479
gene_std,0.9001665115356445
gene_std,0.7079412937164307
gene_std,0.9341884851455688
gene_std,0.7906866669654846
gene_std,0.8116628527641296
gene_std,0.8874837756156921
gene_std,0.7640437483787537
gene_std,0.8513820171356201
gene_std,0.9004952907562256
gene_std,0.7742864489555359
gene_std,0.7108342051506042
gene_std,0.7780758142471313
gene_std,0.8044458031654358
gene_std,0.7973057627677917
gene_std,0.8784498572349548
gene_std,0.9396123886108398
gene_std,0.8503073453903198
gene_std,0.9466800689697266
gene_std,0.7181246280670166
gene_std,0.7422020435333252
gene_std,0.7321802973747253
gene_std,1.0137972831726074
gene_std,0.7315592765808105
gene_std,0.756486713886261
gene_std,0.8152306079864502
gene_std,0.7750510573387146
gene_std,0.931823194026947
gene_std,0.7818376421928406
gene_std,0.8578989505767822
gene_std,0.8112455010414124
gene_std,0.7531574964523315
gene_std,0.838443398475647
gene_std,0.7876268029212952
gene_std,0.8438950181007385
gene_std,1.0721611976623535
gene_std,0.7772680521011353
gene_std,0.8184221982955933
gene_std,0.7346165180206299
gene_std,0.7778259515762329
gene_std,0.7195253372192383
gene_std,0.7527161240577698
gene_std,0.740259051322937
gene_std,0.8168990015983582
gene_std,0.7639374732971191
gene_std,0.827632486820221
gene_std,0.8907226920127869
gene_std,0.7583484649658203
gene_std,0.9104089736938477
gene_std,0.7973029017448425
gene_std,0.6888580918312073
gene_std,0.785952627658844
gene_std,0.8599147796630859
gene_std,0.7789748311042786
gene_std,0.6882944107055664
gene_std,0.9052289128303528
gene_std,0.7445189356803894
gene_std,0.7691758275032043
gene_std,0.7580839991569519
gene_std,0.758783221244812
gene_std,0.7972579002380371
gene_std,0.7663196921348572
gene_std,0.8147786259651184
gene_std,0.8148943781852722
gene_std,0.7254683375358582
gene_std,0.7613257765769958
gene_std,0.6851266622543335
gene_std,0.7511155605316162
gene_std,0.8638404607772827
gene_std,0.7311116456985474
gene_std,0.7711353302001953
gene_std,0.7508492469787598
gene_std,0.7096511721611023
gene_std,0.7902930378913879
gene_std,0.7237860560417175
